رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
RAWM000001,أسيتون,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,,,
RAWM000002,هيترون,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,,HETRON 922-P,18
RAWM000003,كاتلست,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,,,
RAWM000004,فايبر جلاس مات 300,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,,,
RAWM000005,فايبر جلاس مات 400,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,,,
RAWM000006,صبغة,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,
RAWM000007,أكريليك,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,,,
RAWM000008,غراء,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,25
RAWM000009,كابوسيل,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,,,
PACK000001,نايلون تغليف,Packaging - تعبئة وتغليف - A,تعبئة وتغليف,رول,,,,85
SPER000001,كرت سنفرة مقاس 60 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,علبة,,,0.96
SPER000002,كرت سنفرة مقاس 120,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,علبة,,,0.95
SPER000003,سلك لحام,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,كرتونة,,,0.5
SPER000004,سلك تعليق الملكان ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,ربطة,,,,
SPER000005,سطل ايطالي ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000257,BUCKETS ITALIAN,6
RAWM000010,معجون بادي فيلر,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,سطل,,,,65
SPER000006,فايبر دسك سنفرة ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,
SPER000007,كرت صاروخ قص 4.5 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,85
SPER000008,فرشاة بوية للكاستينغ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000245,BRUSH PAINT 2,4.167
